long,lat,id,group,Cod.Dep,Departamento,Tipo,F,M,Casos,rango
-71.06471173,1.79831932,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.09337199,1.80205947,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.09337199,1.80205947,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.09337199,1.80205947,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.0925851,1.78108026,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.0925851,1.78108026,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.0925851,1.78108026,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.12582542,1.78305886,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.12582542,1.78305886,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.12582542,1.78305886,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.25861941,1.66797172,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.25861941,1.66797172,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.25861941,1.66797172,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.31388441,1.71390842,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.31388441,1.71390842,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.31388441,1.71390842,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.33044372,1.7051188,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.33044372,1.7051188,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.33044372,1.7051188,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.36781975,1.73893923,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.36781975,1.73893923,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.36781975,1.73893923,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.39817632,1.73371142,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.39817632,1.73371142,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.39817632,1.73371142,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.39018003,1.59820003,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.39018003,1.59820003,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.39018003,1.59820003,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.43948003,1.54500003,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.43948003,1.54500003,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.43948003,1.54500003,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.43994003,1.50800002,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.43994003,1.50800002,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.43994003,1.50800002,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.45532003,1.46477003,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.45532003,1.46477003,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.45532003,1.46477003,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.47942003,1.44616002,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.47942003,1.44616002,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.47942003,1.44616002,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.47864003,1.40484003,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.47864003,1.40484003,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.47864003,1.40484003,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.53061381,1.29583566,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.53061381,1.29583566,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.53061381,1.29583566,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.52640222,1.27802746,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.52640222,1.27802746,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.52640222,1.27802746,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.55251974,1.27690473,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.55251974,1.27690473,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.55251974,1.27690473,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.53890813,1.23019392,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.53890813,1.23019392,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.53890813,1.23019392,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.55301772,1.20741888,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.55301772,1.20741888,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.55301772,1.20741888,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-71.53468179,1.20602212,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-71.53468179,1.20602212,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-71.53468179,1.20602212,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
