long,lat,id,group,Cod.Dep,Departamento,Tipo,F,M,Casos,rango
-72.77802638,1.14787768,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.77802638,1.14787768,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.77128119,1.18227115,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.77128119,1.18227115,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.77128119,1.18227115,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.82390777,1.17823106,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.82390777,1.17823106,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.82390777,1.17823106,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.82689392,1.14889648,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.82689392,1.14889648,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.82689392,1.14889648,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.85924979,1.1647758,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.85924979,1.1647758,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.85924979,1.1647758,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.84979949,1.14309983,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
-72.84979949,1.14309983,30,30.1,95,Guaviare,Recuperado,346,533,879,0 - 20000
-72.84979949,1.14309983,30,30.1,95,Guaviare,Fallecido,7,13,20,0 - 1000
-72.87207269,1.13540609,30,30.1,95,Guaviare,Activo,101,120,221,0 - 2000
